Name,StudentID,Age,Gender,AttendanceRate,AcademicPerformance,CounselingSessions,BehaviorIncidents,LastHelpDate,HotlineCalls,AI_RecommendedAction,teacher_note,label
Student_1,1,17,M,84.6,74.4,1,مشاكل تركيز,2024-08-21,0,,الطالبة متفوقة و متفاعلة مع جميع الأنشطة,low
Student_2,2,15,F,100.0,99.5,0,مشاكل تركيز,2024-01-10,0,,الطالب يظهر دافعية جيدة ويتحسن باستمرار,low
Student_3,3,12,F,76.8,60.5,0,مشاكل تركيز,2024-04-10,0,,الطالبة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
Student_4,4,17,F,76.3,88.6,1,مشاكل تركيز,2024-03-22,0,,الطالب يشارك بفعالية ويظهر حماسًا للتعلم,low
Student_5,5,16,F,97.4,70.8,0,سلوك طبيعي,2024-09-25,0,,الطالبة تتعاون مع زملائها وتحب العمل الجماعي,low
Student_6,6,14,F,96.6,81.6,1,مشاكل تركيز,2024-09-03,0,,الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته,low
Student_7,7,14,M,91.5,100.0,0,سلوك طبيعي,2024-11-21,0,,الطالبة لديها طاقة إيجابية وتحب المشاركة,low
Student_8,8,12,M,85.1,83.3,2,سلوك طبيعي,2024-02-01,0,,الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره,low
Student_9,9,15,F,93.0,79.5,0,سلوك طبيعي,2024-06-03,0,,الطالبة متميزة في التحليل والتفكير النقدي,low
Student_10,10,15,F,100.0,94.2,1,مشاكل تركيز,2024-01-11,0,,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا,low
Student_11,11,16,M,100.0,88.5,0,مشاكل تركيز,2024-03-20,0,,الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
Student_12,12,12,F,71.4,65.4,0,سلوك طبيعي,2024-07-03,0,,الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
Student_13,13,14,F,83.8,78.5,1,سلوك طبيعي,2024-01-10,0,,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
Student_14,14,15,M,83.2,54.4,0,مشاكل تركيز,2024-03-13,0,,الطالب يحرص على المشاركة ويظهر روح المبادرة,low
Student_15,15,12,F,100.0,68.5,2,سلوك طبيعي,2024-08-25,1,,الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
Student_16,16,15,F,63.2,78.8,2,سلوك طبيعي,2024-07-17,0,,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي,low
Student_17,17,17,F,93.1,67.8,0,سلوك طبيعي,2024-03-21,0,,الطالبة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
Student_18,18,15,F,85.4,78.3,1,سلوك طبيعي,2024-08-03,0,,الدارسة متميزة و متفاعلة مع جميع الأنشطة جداً,low
Student_19,19,14,M,100.0,74.8,1,سلوك طبيعي,2024-10-22,0,,الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار تماماً,low
Student_20,20,13,F,100.0,81.4,1,سلوك طبيعي,2024-01-03,0,,يسعدني أن التلميذة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
Student_21,21,16,M,91.7,69.9,0,سلوك طبيعي,2024-10-21,0,,الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة جداً,low
Student_22,22,16,M,72.2,63.7,1,سلوك طبيعي,2024-09-11,0,,الطالب يظهر دافعية جيدة تماماً ويتحسن باستمرار,low
Student_23,23,14,F,82.3,92.7,0,سلوك طبيعي,2024-05-04,0,,الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره هذا الأسبوع,low
Student_24,24,15,M,83.4,69.1,0,سلوك طبيعي,2024-02-26,0,,الطالب يظهر دافعية جيدة ويتحسن باستمرار هذا الأسبوع,low
Student_25,25,12,M,74.7,82.9,0,مشاكل تركيز,2024-12-15,0,,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
Student_26,26,15,F,99.5,92.2,0,مشاكل تركيز,2024-05-02,0,,الطفلة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
Student_27,27,14,M,73.5,77.0,1,سلوك طبيعي,2024-02-03,0,,الدارس يحرص على المشاركة ويظهر روح المبادرة,low
Student_28,28,16,M,100.0,64.7,3,سلوك طبيعي,2024-02-05,0,,يسعدني أن الطالبة متميزة في التحليل والتفكير النقدي,low
