student_id,teacher_note,label
1,الطالبة متفوقة و متفاعلة مع جميع الأنشطة,low
2,الطالب يظهر دافعية جيدة ويتحسن باستمرار,low
3,الطالبة لديها ثقة بنفسها وتبدي فهمًا جيدًا,low
4,الطالب يشارك بفعالية ويظهر حماسًا للتعلم,low
5,الطالبة تتعاون مع زملائها وتحب العمل الجماعي,low
6,الطالب منظم ويظهر تقدمًا ملحوظًا في دراسته,low
7,الطالبة لديها طاقة إيجابية وتحب المشاركة,low
8,الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره,low
9,الطالبة متميزة في التحليل والتفكير النقدي,low
10,الطالب يتفاعل مع الدرس ويظهر تقدمًا واضحًا,low
11,الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة,low
12,الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
13,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
14,الطالب يحرص على المشاركة ويظهر روح المبادرة,low
15,الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
16,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي,low
17,الطالبة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
18,الدارسة متميزة و متفاعلة مع جميع الأنشطة جداً,low
19,الطالبة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار تماماً,low
20,يسعدني أن التلميذة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
21,الطالبة تبدي فهمًا عميقًا للمفاهيم الجديدة جداً,low
22,الطالب يظهر دافعية جيدة تماماً ويتحسن باستمرار,low
23,الطالب لديه مهارات تواصل جيدة ويشارك بأفكاره هذا الأسبوع,low
24,الطالب يظهر دافعية جيدة ويتحسن باستمرار هذا الأسبوع,low
25,الدارسة تبدي التزامًا عاليًا وتتفوق أكاديميًا,low
26,الطفلة ملتزمة بالحضور وتبدي أداءً ممتازًا,low
27,الدارس يحرص على المشاركة ويظهر روح المبادرة,low
28,يسعدني أن الطالبة متميزة في التحليل والتفكير النقدي,low
29,الطالب يتفاعل بحماس ويظهر شغفًا بالعلم,low
30,الطفلة تتعاون مع زملائها وتحب العمل الجماعي,low
31,الطفل لديه مهارات تواصل جيدة ويشارك بأفكاره,low
32,لحسن الحظ الطالب يشارك بفعالية ويظهر حماسًا للتعلم,low
33,التلميذة متميزة في التحليل والتفكير النقدي,low
34,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي بوضوح,low
35,الطالبة ملتزمة بالحضور وتبدي أداءً ممتازًا بوضوح,low
36,الطفل يظهر دافعية جيدة ويتحسن باستمرار,low
37,الطالب يشارك بفعالية ويظهر حماسًا للتعلم جداً,low
38,الطالب يشارك في الأنشطة ويميل للتعلم الذاتي تماماً,low
39,لحسن الحظ الطالب يشارك بحماس ويظهر شغفًا بالعلم,low
40,الطفل لديه مهارات تواصل رائعة ويشارك بأفكاره جداً,low
41,من الجيد أن الطالب يشارك في الأنشطة ويميل للتعلم الذاتي,low
42,الدارسة قادرة على الفهم بسرعة وتشارك زملاءها الأفكار,low
43,الطالب يتفاعل بحماس ويظهر شغفًا بالعلم,low
